GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-04-13T16:53:51.426041+00:00,G10,-1620081.7744787028,17327678.89277763,20172485.06377191,22839528.10111702,48.3
2024-04-13T16:53:51.426041+00:00,G21,15757452.408317765,1890975.957163494,21856363.72227612,21704707.75126088,45.7
2024-04-13T16:53:51.426041+00:00,G27,23098436.983025927,13303367.387089958,-3014966.440680798,22215117.68794983,37.9
2024-04-13T16:53:51.426041+00:00,G32,7810468.746056126,17849813.844240233,18350828.840009507,21298089.881690666,48.5
2024-04-13T16:53:51.426041+00:00,G08,25023639.6240527,4783845.8041696865,8137692.350133545,21196005.876491368,27.7
2024-04-13T16:53:52.426041+00:00,G08,25024485.673475336,4784495.73568894,8134789.066819822,21198559.199303802,24.4
2024-04-13T16:53:52.426041+00:00,G10,-1622221.7386181029,17329011.944833502,20171123.300062597,22839914.83154743,50.6
2024-04-13T16:53:52.426041+00:00,G21,15757890.182902263,1893596.4890210386,21855909.19883369,21704400.173245847,42.1
2024-04-13T16:53:52.426041+00:00,G27,23098025.775149066,13303432.704174265,-3018087.6846097405,22215691.520228334,38.4
2024-04-13T16:53:52.426041+00:00,G32,7808348.177779548,17848964.775606938,18352557.366964802,21298366.886310734,49.7
2024-04-13T16:53:52.426041+00:00,G28,5169380.722935404,25825521.78461427,-3459569.3951893607,23754428.557289694,22.6
2024-04-13T16:53:53.426041+00:00,G02,14633733.886359746,-4876403.146818345,22088069.517008904,22748496.823699094,36.4
2024-04-13T16:53:53.426041+00:00,G10,-1624361.4827733282,17330345.035913818,20169761.111179903,22840302.155285254,49.4
2024-04-13T16:53:53.426041+00:00,G21,15758328.10480552,1896216.9288764265,21855454.233308345,21704083.311714977,44.0
2024-04-13T16:53:53.426041+00:00,G27,23097614.2226298,13303497.877272215,-3021208.866181506,22216267.09752861,38.3
2024-04-13T16:53:53.426041+00:00,G32,7806227.364952,17848115.740182087,18354285.51232206,21298652.267035324,49.5
2024-04-13T16:53:53.426041+00:00,G08,25025331.44251043,4785145.479727182,8131885.5686540045,21196433.106627703,28.7
2024-04-13T16:53:54.426041+00:00,G02,14634187.149074417,-4873751.769524982,22088388.030829635,22748007.24233289,34.4
2024-04-13T16:53:54.426041+00:00,G08,25026176.90465797,4785795.015990736,8128981.94653165,21199006.53209097,33.3
2024-04-13T16:53:54.426041+00:00,G10,-1626501.006911111,17331678.165967986,20168398.49714693,22840689.199819587,49.4
2024-04-13T16:53:54.426041+00:00,G21,15758766.173984352,1898837.2765154084,21854998.82573954,21703774.791388184,46.6
2024-04-13T16:53:54.426041+00:00,G27,23097202.325449765,13303562.906434843,-3024329.9853714406,22216840.615703195,41.8
2024-04-13T16:53:54.426041+00:00,G32,7804106.307497054,17847266.73796886,18356013.276138343,21298929.899863232,48.5
2024-04-13T16:53:54.426041+00:00,G28,5168924.809042597,25826449.37859963,-3453295.7093686997,23753475.836136032,25.7
2024-04-13T16:53:55.426041+00:00,G02,14634640.578020565,-4871100.385080924,22088706.094381887,22747533.88966919,40.9
2024-04-13T16:53:55.426041+00:00,G03,23139970.138757024,-12054947.730469286,4452366.880521358,24087135.33902255,26.1
2024-04-13T16:53:55.426041+00:00,G08,25027022.07980099,4786444.359818457,8126078.132103045,21199216.081258405,38.7
2024-04-13T16:53:55.426041+00:00,G10,-1628640.3109857645,17333011.334937595,20167035.457994774,22841076.837661322,43.5
2024-04-13T16:53:55.426041+00:00,G21,15759204.390443947,1901457.532013134,21854542.976116437,21703459.116472118,45.4
2024-04-13T16:53:55.426041+00:00,G27,23096790.083593793,13303627.79171246,-3027451.0421316437,22217410.50423249,40.1
2024-04-13T16:53:55.426041+00:00,G28,5168696.831624985,25826912.603992574,-3450158.7807735284,23755343.52840777,35.6
2024-04-13T16:53:55.426041+00:00,G32,7801985.005542927,17846417.769052375,18357740.65830392,21299212.593254283,48.5
2024-04-13T16:53:56.426041+00:00,G02,14635094.173222909,-4868448.993377693,22089023.707681313,22747057.221464112,44.9
2024-04-13T16:53:56.426041+00:00,G08,25027866.96120423,4787093.506100158,8123174.148416854,21199435.228045594,35.9
2024-04-13T16:53:56.426041+00:00,G10,-1630779.394992184,17334344.542789575,20165671.993728593,22841460.252550367,41.3
2024-04-13T16:53:56.426041+00:00,G21,15759642.754154643,1904077.6952364217,21854086.684464402,21703144.62817086,47.4
2024-04-13T16:53:56.426041+00:00,G27,23096377.497063693,13303692.533152953,-3030572.0362848532,22217987.617151927,39.7
2024-04-13T16:53:56.426041+00:00,G28,5168468.837512508,25827375.454364292,-3447021.7541612023,23754857.256107263,38.7
2024-04-13T16:53:56.426041+00:00,G32,7799863.459070533,17845568.833458506,18359467.65882936,21299492.285207883,48.9
2024-04-13T16:53:57.426041+00:00,G02,14635547.934660679,-4865797.594572752,22089340.870711714,22746587.742748752,46.2
2024-04-13T16:53:57.426041+00:00,G08,25028711.548887122,4787742.454915313,8120269.995327829,21199642.683186904,37.0
2024-04-13T16:53:57.426041+00:00,G10,-1632918.25883264,17335677.78943325,20164308.104412496,22841847.576288186,41.4
2024-04-13T16:53:57.426041+00:00,G21,15760081.265101962,1906697.7661432014,21853629.950793028,21702829.267358713,43.7
2024-04-13T16:53:57.426041+00:00,G27,23095964.56583222,13303757.130808903,-3033692.9678732753,22218561.728633914,42.4
2024-04-13T16:53:57.426041+00:00,G28,5168240.828453019,25827837.92605218,-3443884.654355045,23754382.98955656,36.8
2024-04-13T16:53:57.426041+00:00,G32,7797741.668138774,17844719.931244783,18361194.277661305,21299772.012061924,51.4
2024-04-13T16:53:57.426041+00:00,G03,23139242.501698636,-12053934.054609507,4458701.712114241,24083831.64164655,22.2
2024-04-13T16:53:58.426041+00:00,G02,14636001.86235392,-4863146.188584917,22089657.583485432,22746108.980517548,43.0
2024-04-13T16:53:58.426041+00:00,G03,23138878.236811876,-12053426.850471737,4461868.946930414,24085702.93956946,37.0
2024-04-13T16:53:58.426041+00:00,G08,25029555.842780422,4788391.20627442,8117365.672996037,21199848.672509916,43.7
2024-04-13T16:53:58.426041+00:00,G10,-1635056.9025447555,17337011.074862063,20162943.79002451,22842228.024640217,38.5
2024-04-13T16:53:58.426041+00:00,G21,15760519.92325843,1909317.744613234,21853172.775125466,21702519.874521032,49.6
2024-04-13T16:53:58.426041+00:00,G27,23095551.289898757,13303821.584728386,-3036813.836739285,22219141.80809037,39.2
2024-04-13T16:53:58.426041+00:00,G28,5168012.804393136,25828300.019053843,-3440747.481402782,23753918.913933016,39.0
2024-04-13T16:53:58.426041+00:00,G32,7795619.632812711,17843871.0624708,18362920.514741756,21300055.612864297,47.8
2024-04-13T16:53:59.426041+00:00,G02,14636455.956279635,-4860494.775584498,22089973.845984723,22745632.905619875,41.7
2024-04-13T16:53:59.426041+00:00,G03,23138513.668714173,-12052919.394217,4465036.110534397,24085234.65189963,35.5
2024-04-13T16:53:59.426041+00:00,G08,25030399.842822723,4789039.760194568,8114461.181554461,21200060.629807398,46.1
2024-04-13T16:53:59.426041+00:00,G10,-1637195.3259651884,17338344.39894435,20161579.050670728,22842618.943122886,40.1
2024-04-13T16:53:59.426041+00:00,G21,15760958.728622686,1911937.6306832712,21852715.157457583,21702205.386219773,49.5
2024-04-13T16:53:59.426041+00:00,G27,23095137.669228863,13303885.894964874,-3039934.642980297,22219712.3248275,38.5
2024-04-13T16:53:59.426041+00:00,G28,5167784.765270568,25828761.733386178,-3437610.235220305,23753450.615356784,37.3
2024-04-13T16:53:59.426041+00:00,G32,7793497.353083544,17843022.227166805,18364646.37007263,21300336.526333142,44.7
2024-04-13T16:54:00.426041+00:00,G02,14636910.21642518,-4857843.355681108,22090289.65819919,22745164.61351932,42.8
2024-04-13T16:54:00.426041+00:00,G03,23138148.800276164,-12052411.689750202,4468203.178244213,24084756.52230699,34.1
2024-04-13T16:54:00.426041+00:00,G08,25031243.54899787,4789688.11672778,8111556.520980237,21200269.89977135,47.5
2024-04-13T16:54:00.426041+00:00,G10,-1639333.5290692467,17339677.761634715,20160213.886368938,22843018.27261051,38.9
2024-04-13T16:54:00.426041+00:00,G21,15761397.681171078,1914557.4242559555,21852257.097808544,21701890.025407627,49.4
2024-04-13T16:54:00.426041+00:00,G27,23094723.703812163,13303950.061568344,-3043055.38651061,22220275.33797101,37.0
2024-04-13T16:54:00.426041+00:00,G28,5167556.711026728,25829223.069058105,-3434472.915777534,23752968.845212452,36.6
2024-04-13T16:54:00.426041+00:00,G32,7791374.829016366,17842173.425392583,18366371.843595777,21300618.626416795,44.2
2024-04-13T16:54:01.426041+00:00,G02,14637364.642792437,-4855191.928899639,22090605.020128503,22744699.636960126,44.0
2024-04-13T16:54:01.426041+00:00,G03,23137783.631565005,-12051903.7370709,4471370.149767801,24084289.73535588,37.7
2024-04-13T16:54:01.426041+00:00,G08,25032086.961229336,4790336.275879034,8108651.6914588325,21200489.325762026,47.1
2024-04-13T16:54:01.426041+00:00,G10,-1641471.5119589418,17341011.162966784,20158848.297056004,22843406.189655732,39.7
2024-04-13T16:54:01.426041+00:00,G21,15761836.780874714,1917177.1252035373,21851798.59620296,21701581.53998127,49.7
2024-04-13T16:54:01.426041+00:00,G27,23094309.393677946,13304014.084582368,-3046176.0669477573,22220861.420302365,38.9
2024-04-13T16:54:01.426041+00:00,G28,5167328.641621968,25829684.02603954,-3431335.523310281,23752489.76240165,35.0
2024-04-13T16:54:01.426041+00:00,G32,7789252.060640548,17841324.657193534,18368096.935282182,21300900.72650044,48.6
2024-04-13T16:54:02.426042+00:00,G02,14637819.235400127,-4852540.495166579,22090919.93178401,22744222.375447653,43.9
2024-04-13T16:54:02.426042+00:00,G03,23137418.16261498,-12051395.53613383,4474537.025096268,24083828.672076195,37.9
2024-04-13T16:54:02.426042+00:00,G08,25032930.07953713,4790984.237728105,8105746.692842904,21200697.409111172,44.7
2024-04-13T16:54:02.426042+00:00,G10,-1643609.2745687868,17342344.602869898,20157482.282775573,22843786.323903844,35.3
2024-04-13T16:54:02.426042+00:00,G21,15762276.027739774,1919796.7336072517,21851339.652628817,21701263.736138638,40.8
2024-04-13T16:54:02.426042+00:00,G27,23093894.738759417,13304077.964065365,-3049296.684632906,22221431.62293558,40.1
2024-04-13T16:54:02.426042+00:00,G32,7787129.048004527,17840475.922622673,18369821.64508736,21301184.327302817,50.9
2024-04-13T16:54:02.426042+00:00,G28,5167100.555225346,25830144.60791714,-3428198.0334067675,23749674.40953939,31.7
2024-04-13T16:54:03.426042+00:00,G02,14638273.99421734,-4849889.054697799,22091234.39314268,22743749.930195272,45.4
2024-04-13T16:54:03.426042+00:00,G08,25033772.90383549,4791632.002273033,8102841.525349707,21200910.273819976,48.4
2024-04-13T16:54:03.426042+00:00,G10,-1645746.816635009,17343678.08114945,20156115.843698278,22844190.15554764,34.4
